unique(temp$sendID) recParty
C00459925 DEM
C00459933 REP
C00460097 DEM
C00460972 DEM
C00461129 REP
C00461574 DEM
C00461756 DEM
C00462564 REP
C00462630 REP
C00464198 DEM
C00464495 DEM
C00464727 DEM
C00465583 REP
C00466094 DEM
C00466334 DEM
C00466813 DEM
C00467837 DEM
C00468223 DEM
C00468660 REP
C00468801 DEM
C00469080 REP
C00469163 DEM
C00469205 REP
C00471169 DEM
C00471193 REP
C00471334 DEM
C00472506 DEM
C00472894 DEM
C00473249 REP
C00473652 REP
C00473918 DEM
C00474122 DEM
C00475194 DEM
C00475343 REP
C00475426 DEM
C00475665 REP
C00476523 DEM
C00476564 DEM
C00477067 DEM
C00477299 REP
C00477653 REP
C00477737 REP
C00478099 REP
C00478362 REP
C00478404 REP
C00478800 DEM
C00479246 REP
C00479873 REP
C00479899 REP
C00481978 DEM
C00483677 REP
C00483693 DEM
C00484162 REP
C00484402 DEM
C00484535 REP
C00484584 REP
C00484642 DEM
C00484725 DEM
C00485003 DEM
C00485433 REP
C00485466 DEM
C00485896 DEM
C00485953 DEM
C00486209 REP
C00486217 REP
C00486498 REP
C00486779 REP
C00486845 DEM
C00486928 REP
C00487470 REP
C00487892 DEM
C00488080 DEM
C00488262 REP
C00488387 DEM
C00488486 DEM
C00488882 REP
C00489005 REP
C00489302 REP
C00489310 REP
C00489534 REP
C00489591 DEM
C00489799 DEM
C00489815 DEM
C00490375 DEM
C00490474 REP
C00490698 DEM
C00490987 REP
C00491506 REP
C00491571 DEM
C00491936 DEM
C00491951 REP
C00492025 DEM
C00492082 DEM
C00492132 DEM
C00492223 REP
C00492520 DEM
C00492983 DEM
C00493304 REP
C00493502 REP
C00493551 REP
C00493700 DEM
C00493940 DEM
C00494112 DEM
C00494526 REP
C00494534 REP
C00494682 REP
C00494856 DEM
C00495002 REP
C00495556 DEM
C00495929 DEM
C00496836 REP
C00497073 DEM
C00497131 DEM
C00497545 REP
C00497917 REP
C00497933 DEM
C00498105 DEM
C00498667 DEM
C00499467 DEM
C00501015 DEM
C00501106 DEM
C00501197 DEM
C00501429 DEM
C00501676 DEM
C00502294 DEM
C00502625 DEM
C00502906 REP
C00502955 REP
C00503318 DEM
C00503680 REP
C00504753 REP
C00506907 DEM
C00507269 REP
C00507392 REP
C00507574 DEM
C00507962 REP
C00508101 DEM
C00508440 DEM
C00508770 REP
C00509356 DEM
C00509968 DEM
C00511196 DEM
C00511444 REP
C00511600 DEM
C00512129 DEM
C00512327 REP
C00513531 DEM
C00513713 DEM
C00513861 REP
C00514331 REP
C00515148 REP
C00516500 DEM
C00516666 DEM
C00517052 REP
C00518233 DEM
C00519413 DEM
C00520254 REP
C00520270 DEM
C00520569 DEM
C00520973 REP
C00521039 DEM
C00521328 DEM
C00521914 REP
C00522094 REP
C00523605 REP
C00523613 DEM
C00523621 DEM
C00523670 DEM
C00523936 DEM
C00525030 DEM
C00525063 REP
C00525220 DEM
C00525600 DEM
C00525873 REP
C00526673 DEM
C00527226 DEM
C00527663 DEM
C00527796 DEM
C00528026 DEM
C00528380 DEM
C00528992 DEM
C00529073 REP
C00529693 DEM
C00529909 REP
C00529966 REP
C00531632 DEM
C00531814 DEM
C00532440 DEM
C00536466 REP
C00536573 REP
C00536607 DEM
C00536680 DEM
C00538637 DEM
C00538835 DEM
C00539601 DEM
C00539866 DEM
C00540062 DEM
C00540112 DEM
C00540195 DEM
C00540435 REP
C00540443 DEM
C00540518 REP
C00540740 DEM
C00540906 DEM
C00540955 DEM
C00540989 DEM
C00541177 DEM
C00541375 DEM
C00542365 REP
C00542514 REP
C00542555 DEM
C00542621 DEM
C00542704 DEM
C00542746 DEM
C00543249 DEM
C00543371 REP
C00543561 DEM
C00543652 DEM
C00543876 REP
C00544254 DEM
C00544817 REP
C00544858 DEM
C00545004 DEM
C00545194 DEM
C00545202 DEM
C00545558 DEM
C00545970 DEM
C00546119 REP
C00546234 REP
C00546903 DEM
C00547349 DEM
C00548008 DEM
C00548198 REP
C00548248 DEM
C00548461 DEM
C00549014 DEM
C00549162 DEM
C00549592 DEM
C00549865 REP
C00550244 DEM
C00550483 DEM
C00550491 REP
C00551069 DEM
C00551192 REP
C00551697 DEM
C00552083 REP
C00552141 DEM
C00552489 DEM
C00552539 DEM
C00552679 DEM
C00553230 DEM
C00553834 DEM
C00553966 DEM
C00554071 REP
C00554097 REP
C00555367 DEM
C00556860 DEM
C00557165 DEM
C00557793 DEM
C00558452 DEM
C00558627 DEM
C00558734 DEM
C00558759 DEM
C00558932 DEM
C00559211 DEM
C00559302 REP
C00559906 DEM
C00560839 REP
C00561522 DEM
C00561647 DEM
C00561944 DEM
C00562264 DEM
C00562330 DEM
C00562587 DEM
C00562611 DEM
C00562660 REP
C00562777 DEM
C00563072 REP
C00563288 DEM
C00563601 DEM
C00564187 DEM
C00564690 DEM
C00564799 DEM
C00565614 DEM
C00566042 REP
C00566059 DEM
C00566067 DEM
C00566521 DEM
C00567388 REP
C00567693 DEM
C00567883 DEM
C00568584 REP
C00569095 DEM
C00569152 REP
C00569236 DEM
C00570101 DEM
C00570606 DEM
C00571042 REP
C00571174 DEM
C00571182 DEM
C00571414 DEM
C00571729 DEM
C00571919 DEM
C00571943 DEM
C00572040 DEM
C00572156 REP
C00572610 DEM
C00572628 DEM
C00572826 DEM
C00572933 DEM
C00573253 DEM
C00573261 DEM
C00573709 DEM
C00574228 DEM
C00574319 DEM
C00574368 REP
C00575233 DEM
C00575340 REP
C00575738 REP
C00575878 DEM
C00576215 DEM
C00576975 DEM
C00577049 DEM
C00577072 REP
C00578096 REP
C00578880 DEM
C00580076 REP
C00580589 DEM
C00580894 DEM
C00582114 DEM
C00582643 REP
C00582999 DEM
C00583229 REP
C00584938 REP
C00585687 DEM
C00586610 DEM
C00586859 REP
C00589119 REP
C00589309 DEM
C00589317 DEM
C00589507 DEM
C00589663 REP
C00590489 DEM
C00591065 DEM
C00591461 DEM
C00602516 DEM
C00602805 DEM
C00603258 DEM
C00603373 REP
C00605410 DEM
C00607168 DEM
C00607804 DEM
C00607861 DEM
C00609388 DEM
C00610592 REP
C00612010 REP
C00612820 DEM
C00613000 DEM
C00613521 DEM
C00614156 DEM
C00614164 DEM
C00614552 REP
C00615203 REP
C00615690 DEM
C00616128 DEM
C00617381 DEM
C00617803 DEM
C00619528 DEM
C00620088 DEM
C00620427 DEM
C00620583 DEM
C00620948 DEM
C00620971 DEM
C00621391 DEM
C00621995 DEM
C00622043 DEM
C00622654 DEM
C00623595 DEM
C00624064 DEM
C00624445 DEM
C00624718 DEM
C00624817 DEM
C00625533 DEM
C00626861 DEM
C00627836 DEM
C00627844 DEM
C90016726 DEM
C00318907 GRE
C00375568 REP
C00563437 IND
C00278101 REP
C00452383 REP
C00469239 LIB
C00557025 LIB
C00561795 LIB
C00572792 LIB
C00000059 REP
C00000547 REP
C00001214 REP
C00001727 REP
C00002907 REP
C00003160 REP
C00003418 REP
C00003855 REP
C00004101 REP
C00008151 REP
C00009639 REP
C00009704 REP
C00010363 REP
C00010421 REP
C00010793 REP
C00012310 REP
